ds,p,perc_total_perf,q,cluster_imbalance_ratio,data_ratio,noise_ratio,acc,bacc,kappa,log_loss,clf
zebra,0.0333,0.25,1.0,100,0.8088,0.0,0.9417,0.3658,0.3539,0.1642,kpdr
zebra,0.0333,0.25,1.0,100,0.8088,0.0,0.9302,0.3436,0.3006,0.2657,pdr
zebra,0.1222,0.5,1.0,1,1.0,0.0,0.9656,0.286,0.4204,0.1427,irbl
zebra,0.1222,0.5,1.0,1,1.0,0.0,0.9655,0.2848,0.419,0.1448,irbl2
zebra,0.1222,0.5,1.0,1,1.0,0.0,0.9595,0.1498,0.244,0.1962,trusted_only
zebra,0.1222,0.5,1.0,1,1.0,0.0,0.9677,0.3175,0.4618,0.1011,no_correction
zebra,0.1222,0.5,1.0,1,1.0,0.0,0.9678,0.3244,0.468,0.1043,untrusted_only
zebra,0.1222,0.5,1.0,1,1.0,0.0,0.9679,0.3267,0.4702,0.1009,kpdr
zebra,0.1222,0.5,1.0,1,1.0,0.0,0.9597,0.158,0.2552,0.1998,pdr
zebra,0.1222,0.5,1.0,2,0.9033,0.0,0.9648,0.2863,0.4154,0.1491,irbl
zebra,0.1222,0.5,1.0,2,0.9033,0.0,0.9643,0.2779,0.4045,0.1489,irbl2
zebra,0.1222,0.5,1.0,2,0.9033,0.0,0.9595,0.1498,0.244,0.1962,trusted_only
